State ,2017,2018,2019,2020,Rank 2020
Connecticut,0.9,0.4,0.9,-4.1,34
Maine ,1.6,2.4,2.6,-4.1,35
Massachusetts ,2.4,3.4,2.4,-3.8,28
New Hampshire ,1.7,2.6,1.4,-4.7,40
Rhode Island ,-0.6,0.8,1,-4.5,38
Vermont ,0.4,0.9,0.8,-5.4,44
Delaware ,-1.7,2.1,1.8,-3.9,29
Maryland ,1.6,0.8,1.4,-2.6,13
New Jersey,0.1,1.5,1.4,-4.1,33
New York,1.9,3,1.6,-5.9,47
Pennsylvania ,0.6,1.9,2.4,-4.4,36
Illinois ,0.8,2.3,0.5,-4,31
Indiana,2,2.8,1.6,-3.1,21
Michigan ,1.4,2.3,0.8,-5.4,43
Ohio ,1.3,2.3,1.5,-4,30
Wisconsin ,1,3.3,1.4,-4.5,37
Iowa ,-0.3,2.3,0.4,-2.3,8
Kansas,1.3,2.4,1.2,-3,19
Minnesota ,1.8,2.9,1.1,-3.7,27
Missouri ,1.1,1.9,1,-3.6,25
Nebraska,1.9,1.2,2,-2.1,7
North Dakota ,0.3,4.3,0.9,-3.5,24
South Dakota ,0.6,2.7,0.6,-1.7,6
Alabama ,1.1,2.3,1.4,-2.7,14
Arkansas,1.3,1.5,0.6,-2.6,12
Florida ,3.6,3.8,2.8,-2.9,18
Georgia ,3.7,3.7,1.6,-2.5,11
Kentucky,0.6,1.6,1.8,-3.7,26
Louisiana ,1.5,2.7,2.1,-5.5,45
Mississippi ,0.7,1,0.6,-2.8,16
North Carolina ,2.4,2.6,1.9,-2.5,10
South Carolina ,3.1,3.1,2.8,-4.1,32
Tennessee ,2.2,2.7,1.6,-4.9,41
Virginia ,1.7,2.3,2.2,-2.5,9
West Virginia ,0.7,3,0.7,-5.5,46
Arizona ,3.7,3.9,3.1,-0.9,3
New Mexico,0.1,2.3,5.2,-3.1,22
Oklahoma,0,2.7,2.4,-6.1,48
Texas,2.8,3.9,2.9,-3.5,23
Colorado ,4,4.4,3.9,-1.5,5
Idaho ,4.2,5.9,3.4,-1.1,4
Montana ,2,2.5,2.8,-3,20
Utah ,4.4,5.6,3.8,-0.1,1
Wyoming ,-0.6,2.2,1.3,-7,49
Alaska ,-0.9,0.2,0.6,-4.9,42
California ,4.3,3.1,3.4,-2.8,15
Hawaii ,2.5,1.4,0.3,-8,50
Nevada,3.6,4.2,2.7,-4.6,39
Oregon ,4.2,4.6,2.8,-2.8,17
Washington,5.5,7.2,4.6,-0.7,2
