Series ID,Year,Period,Label,Value,1-Month % Change
LNS14000000,2020,M01,2020 Jan,3.5,-2.8
LNS14000000,2020,M02,2020 Feb,3.5,0
LNS14000000,2020,M03,2020 Mar,4.4,25.7
LNS14000000,2020,M04,2020 Apr,14.8,236.4
LNS14000000,2020,M05,2020 May,13.3,-10.1
LNS14000000,2020,M06,2020 Jun,11.1,-16.5
LNS14000000,2020,M07,2020 Jul,10.2,-8.1
LNS14000000,2020,M08,2020 Aug,8.4,-17.6
LNS14000000,2020,M09,2020 Sep,7.8,-7.1
LNS14000000,2020,M10,2020 Oct,6.9,-11.5
LNS14000000,2020,M11,2020 Nov,6.7,-2.9
LNS14000000,2020,M12,2020 Dec,6.7,0
LNS14000000,2021,M01,2021 Jan,6.3,-6
LNS14000000,2021,M02,2021 Feb,6.2,-1.6
LNS14000000,2021,M03,2021 Mar,6,-3.2
