State,"Agriculture, forestry, fishing, and hunting","Mining, quarrying, and oil and gas extraction",Utilities,Construction,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,Finance and insurance,Real estate and rental and leasing,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and support and waste management and remediation services,Educational services,Health care and social assistance,"Arts, entertainment, and recreation",Accomodation and food services,Other services (except government and government enterprises),Government and government enterprises,
Connecticut,-4.1,0,0,0.04,-0.12,-0.11,-0.08,-0.15,-0.31,-0.24,0.4,-0.4,-0.17,-0.4,-0.08,-0.13,-0.16,-0.52,-0.35,-0.6,-0.3,-0.41
Maine ,-4.1,0,0,0.18,0.08,-0.19,-0.03,-0.13,-0.24,-0.3,-0.11,0.04,-0.1,-0.09,-0.04,-0.1,-0.17,-0.68,-0.44,-1.14,-0.31,-0.35
Massachusetts ,-3.8,0.01,0,0.04,-0.09,-0.15,-0.01,-0.11,-0.16,-0.24,0.05,-0.09,-0.03,-0.15,-0.02,-0.18,-0.23,-0.55,-0.56,-0.72,-0.27,-0.33
New Hampshire ,-4.7,-0.01,0,0.12,0.02,-0.4,-0.06,-0.36,-0.32,-0.18,0.04,0.2,-0.29,-0.17,0.11,-0.12,-0.13,-0.49,-0.84,-1.06,-0.28,-0.48
Rhode Island ,-4.5,0,0,0.01,-0.09,-0.16,-0.06,-0.31,-0.23,-0.18,-0.08,0.42,-0.33,-0.12,0.05,-0.18,-0.26,-0.8,-0.4,-1.04,-0.37,-0.41
Vermont ,-5.4,-0.27,-0.04,0.1,-0.08,-0.47,-0.02,-0.12,-0.36,-0.23,0.04,-0.02,-0.25,0.03,0.12,-0.19,-0.3,-0.67,-0.48,-1.47,-0.37,-0.37
Delaware ,-3.9,-0.1,0,0.08,0.03,-0.15,-0.26,-0.09,-0.1,-0.22,-0.03,-0.4,-0.39,-0.38,-0.02,-0.08,-0.06,-0.48,-0.18,-0.58,-0.2,-0.26
Maryland ,-2.6,0.02,0,-0.04,-0.04,0,0.11,-0.14,-0.11,-0.24,-0.09,0.21,-0.14,-0.28,-0.08,-0.13,-0.13,-0.43,-0.39,-0.61,-0.28,0.15
New Jersey,-4.1,0.01,0,0.03,-0.14,-0.1,0,-0.34,-0.23,-0.5,0.28,-0.04,-0.29,-0.18,0.21,-0.22,-0.12,-0.59,-0.44,-0.63,-0.34,-0.42
New York,-5.9,-0.02,0,0.02,-0.35,-0.14,-0.1,-0.28,-0.43,-0.38,0.53,-0.09,-0.15,-0.33,-0.12,-0.55,-0.15,-0.55,-0.85,-1.27,-0.27,-0.44
Pennsylvania ,-4.4,-0.06,-0.23,0.07,-0.09,-0.21,-0.1,-0.24,-0.22,-0.56,0,0.14,-0.05,-0.23,-0.08,-0.16,-0.2,-0.5,-0.49,-0.6,-0.33,-0.28
Illinois ,-4,0.38,-0.03,-0.02,-0.16,-0.42,0.03,-0.39,-0.12,-0.57,0.04,0.24,-0.13,-0.26,-0.02,-0.19,-0.12,-0.4,-0.5,-0.73,-0.29,-0.33
Indiana,-3.1,0.4,-0.02,0.03,0.01,-0.5,-0.11,-0.24,-0.14,-0.42,-0.08,0.17,-0.07,-0.09,-0.03,-0.11,-0.11,-0.46,-0.3,-0.53,-0.28,-0.19
Michigan ,-5.4,0.01,-0.02,0.08,-0.12,-1.18,-0.16,-0.37,-0.23,-0.28,0.02,0.23,-0.03,-0.52,0,-0.29,-0.1,-0.55,-0.29,-0.85,-0.36,-0.36
Ohio ,-4,0.06,-0.16,0.06,-0.02,-0.52,-0.14,-0.35,-0.16,-0.46,0.01,0.27,-0.12,-0.19,0.09,-0.2,-0.09,-0.43,-0.39,-0.63,-0.25,-0.33
Wisconsin ,-4.5,-0.07,-0.04,0.08,-0.02,-0.5,-0.21,-0.26,-0.13,-0.39,-0.23,0.12,-0.05,-0.18,-0.08,-0.18,-0.09,-0.63,-0.23,-0.6,-0.27,-0.53
Iowa ,-2.3,0.46,0,0.12,-0.1,0,-0.09,-0.24,-0.13,-0.47,-0.03,0.31,-0.05,-0.07,0.03,-0.1,-0.07,-0.41,-0.2,-0.53,-0.31,-0.42
Kansas,-3,0.16,-0.05,0.05,-0.11,-0.16,0.32,-0.33,-0.11,-0.57,0,0.22,-0.26,-0.09,-0.06,-0.16,-0.05,-0.18,-0.17,-0.59,-0.3,-0.52
Minnesota ,-3.7,0.22,0,0.1,0.03,-0.18,-0.12,-0.23,-0.16,-0.41,-0.11,0.03,-0.11,-0.24,-0.25,-0.14,-0.09,-0.5,-0.32,-0.58,-0.29,-0.35
Missouri ,-3.6,0.03,-0.02,0.04,0.03,-0.57,0.01,-0.28,-0.13,-0.48,-0.03,0.05,-0.09,-0.13,0.07,-0.06,-0.12,-0.43,-0.32,-0.65,-0.28,-0.24
Nebraska,-2.1,0.54,0.01,-0.08,0.1,-0.06,0.06,-0.13,-0.11,-1.42,0.08,0.83,-0.07,-0.04,0.03,-0.13,-0.07,-0.32,-0.19,-0.43,-0.22,-0.47
North Dakota ,-3.5,1.21,-1.17,0.06,-0.52,-0.18,0.02,-0.42,-0.15,-0.98,-0.01,0.01,-0.07,-0.1,0.05,-0.06,0,-0.35,-0.11,-0.54,-0.2,-0.03
South Dakota ,-1.7,1.12,0,0.12,0.16,-0.16,0.06,-0.16,-0.21,-0.37,0.06,-0.44,-0.1,-0.01,0.05,0.01,-0.03,-0.48,-0.12,-0.63,-0.24,-0.31
Alabama ,-2.7,0.03,-0.05,0.06,0.02,-0.15,0.1,-0.19,-0.19,-0.39,-0.07,0.01,-0.13,0.22,-0.04,-0.09,-0.05,-0.57,-0.12,-0.6,-0.32,-0.13
Arkansas,-2.6,0.09,-0.05,0.3,0.1,-0.47,-0.08,-0.09,-0.07,-0.54,0.02,0.16,-0.1,-0.04,0.03,-0.04,-0.03,-0.49,-0.03,-0.6,-0.33,-0.37
Florida ,-2.9,0.03,-0.01,0.14,0,0.08,-0.07,-0.19,-0.11,-0.34,-0.08,0.38,-0.08,-0.07,0.02,-0.2,-0.08,-0.34,-0.39,-0.99,-0.34,-0.22
Georgia ,-2.5,-0.07,-0.01,0.11,0.01,-0.22,-0.09,-0.35,-0.05,-0.42,-0.03,0.28,-0.2,-0.11,0.05,-0.09,-0.04,-0.3,-0.13,-0.56,-0.2,-0.11
Kentucky,-3.7,0.12,-0.12,0.15,0.03,-0.24,-0.06,-0.29,-0.19,-0.57,-0.04,0.03,-0.03,-0.18,-0.04,-0.15,-0.06,-0.56,-0.09,-0.73,-0.3,-0.37
Louisiana ,-5.5,0.07,-0.46,0.19,-0.4,-0.1,-0.7,-0.22,-0.18,-0.4,-0.12,0.06,-0.12,-0.16,0.06,-0.13,-0.07,-1.23,-0.27,-0.79,-0.27,-0.25
Mississippi ,-2.8,0.02,-0.04,0.38,-0.03,-0.23,0.07,-0.14,-0.16,-0.49,-0.05,0,-0.07,0.02,0.11,-0.1,-0.06,-0.58,-0.14,-0.8,-0.25,-0.27
North Carolina ,-2.5,-0.03,0,0.06,-0.05,-0.48,0.02,0.05,-0.12,-0.14,-0.04,0.26,-0.03,-0.04,0.04,-0.08,-0.09,-0.35,-0.3,-0.76,-0.21,-0.21
South Carolina ,-4.1,-0.02,-0.03,0,-0.19,-0.44,-0.16,-0.15,-0.18,-0.32,-0.01,0.17,-0.04,-0.1,0.02,-0.26,-0.06,-0.4,-0.23,-1.02,-0.26,-0.4
Tennessee ,-4.9,0,-0.01,0.05,0.01,-0.21,-0.24,-0.16,-0.3,-0.56,0,0.16,-0.06,-0.16,-0.02,-0.22,-0.08,-0.62,-0.96,-0.92,-0.3,-0.26
Virginia ,-2.5,-0.05,-0.02,0.06,0.1,-0.08,-0.11,-0.08,-0.11,-0.27,-0.13,0.08,-0.08,-0.13,0.17,-0.18,-0.03,-0.43,-0.26,-0.59,-0.24,-0.11
West Virginia ,-5.5,0.01,-0.92,0.09,-0.76,0.1,-0.19,-0.48,-0.29,-0.48,0,-0.04,-0.12,-0.26,-0.02,-0.23,-0.05,-0.57,-0.12,-0.86,-0.29,-0.03
